URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
Pembinaan Karangtaruna/Klub Kepemudaan/Olahraga Tingkat Desa;20000000;2019;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan/Peningkatan Irigasi Tersier/Sederhana;250153000;2019;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Perangkat Desa;17500000;2019;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Fasilitasi Upaya Perlindungan Perempuan dan Anak Terhadap Tindakan
Kekerasan";2000000;2019;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pelatihan Pengelolaan BUM Desa (Pelatihan yg dilaksanakan oleh
Pemdes)";2500000;2019;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;10000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";7200000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";1200000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);42600000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;202143500;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pemeliharaan Jalan Desa;24140000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak
Layak Huni GAKIN";30000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;100000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Jaringan Listrik/ Penerangan
Desa";195000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);500000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembuatan dan Pengelolaan Jaringan/Instalasi Komunikasi dan Informasi
Lokal Desa";9600000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pemeliharaan Saluran Irigasi Tersier/Sederhana;90000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Fasilitasi Upaya Perlindungan Perempuan dan Anak Terhadap Tindakan
Kekerasan";2000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;50000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Desa Tanggap COVID-19;122094500;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
BLT DD Periode April - Juni 2020;720000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
BLT DD Periode Juli - September 2020;360000000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
BLT DD Periode Oktober - Desmeber 2020;187200000;2020;KEJENE;RANDUDONGKAL;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
NA;NA;2016;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan  Jalan Desa;357180500;2017;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Jembatan Desa;38238000;2017;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Turap/Bronjong/ Talud  Desa;399004500;2017;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
pembangunan dan pengembangan sarana prasarana komunikasi dan informatika;30000000;2017;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
fasilitasi dan stimulasi pemugaran rumah tidak layak huni;14000000;2017;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Jambanisasi;6000000;2017;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pengembangan Pos Kesehatan Desa dan Polindes;10000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Sanitasi Lingkungan;6000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 1;105286000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 2;11974000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 3;9583000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 4;234699000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 5;151437000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 6;168299000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 7;22160000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Jalan Desa 8;34082000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase/Gorong-Gorong/Plat Deker;46855000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan dan Pengembangan Sarana Prasarana Komunikasi dan Informatika;58767000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Fasilitasi dan Stimulasi Pemugaran Rumah Tidak Layak Huni;14000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Fasilitasi Terhadap Kelompok-Kelompok Rentan, Kelompok Miskin, Perempuan, Masyarakat Adat, dan Difabel;5000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Promosi Kesehatan dan Gerakan Hidup Bersih dan Sehat;5000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Sumber Daya Aparatur Desa;5000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Kelembagaan Kader Pemberdayaan Masyarakat;2500000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyertaan Modal (investasi) Desa 2;50000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyertaan Modal (investasi) Desa;50000000;2018;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pengelolaan dan Pembinaan Anak Sekolah Melalui Pemberian Makanan
Tambahan Anak Sekolah (PMTAS)";4140000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);10200000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);465466200;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa
**)";28160100;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";43719200;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan Monumen/Gapura/Batas Desa **);42695265;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";152166235;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak
Layak Huni GAKIN";35000000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sambungan Air Bersih ke Rumah
Tangga **)";400000000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;15000000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas Perangkat Desa;17500000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pelatihan Pengelolaan BUM Desa (Pelatihan yg dilaksanakan oleh
Pemdes)";2500000;2019;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";4800000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";7500000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);38261000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;2400000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";80000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa;388211000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Pemeliharaan Turap/ Bronjong/ Talud/ Tanggul Desa** (kewenangan desa);1490000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Turap/Bronjong/ Talud/ Tanggul
Desa** (kewenangan desa)";211134000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak
Layak Huni GAKIN";20000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;3000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penanggulangan Bencana;50000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
Penanganan Keadaan Mendesak;234000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
BLT DD Periode Juli - September 2020;117000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
BLT DD Periode Oktober s.d Desember 2020;126000000;2020;GONGSENG;RANDUDONGKAL;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
NA;NA;2016;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;323121000;2017;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Drainase;605842000;2017;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pemeliharaan jalan desa;654986000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pemeliharaan saluran pembuangan air limbah;361056000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penguatan permodalan bumdesa;50000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penguatan permodalan Bumdesa bersama;50000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pengembangan sarana prasarana komunikasi dan informatika;50000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Fasilitasi dan stimulan peningkatan kesejahteraan masyarakat;45000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan kapasitas kader pemberdayaan masyarakat desa;5000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan kapasitas sumber daya aparatur pemerintah desa;5000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
peningkatan kapasitas pengelola bumdes;5000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
penyelenggaraan promosi kesehatan dan gerakan hidup bersih dan sehat;4000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan kapasitas kader kesehatan;6000000;2018;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyuluhan dan Pelatihan Pendidikan Bagi Masyarakat;2000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";9000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);729696000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jembatan Milik Desa **);26000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";308830000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";155502000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";100000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;66000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pelatihan Pembinaan Lembaga Kemasyarakatan;5000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;10000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;5000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pelatihan Pengelolaan BUM Desa (Pelatihan yg dilaksanakan oleh Pemdes);5000000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan/Rehab Pasar Desa/Kios Milik Desa;104282000;2019;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;16442000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";24000000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan
Sarana/Prasarana/Alat Peraga";30000000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pengelolaan Perpustakaan Milik Desa (Pengadaan Buku, Honor, Taman
Baca)";8500000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";3000000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);56280000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;2400000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";23300000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;50000000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);15500000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembuatan dan Pengelolaan Jaringan/Instalasi Komunikasi dan Informasi
Lokal Desa";7300000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembinaan Karangtaruna/Klub Kepemudaan/Olahraga Tingkat Desa;7000000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penanganan dan pencegahan covid 19;96277000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
penanganan keadaan mendesak / BLT;1329300000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyertaan Modal Desa;50000000;2020;BANJARMULYA;PEMALANG;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
NA;NA;2016;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN JALAN DESA;521072000;2017;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN TURAP/BRONJONG/ TALUD  DESA;23983000;2017;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
PEMBANGUNAN DAN PEMELIHARAAN GORONG-GORONG/DRAENASE/PLAT DEKER;328945000;2017;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
PENGUATAN PERMODALAN BUM DESA;50515000;2017;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pengembangan sarana prasarana komunikai dan informasi;26000000;2017;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
pembangunan dan pengelolaan air bersih;40000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pemeliharaan jalan desa;694463000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
pembangunan dan pemeliharaan gorong gorong/draenase/plat deker;336899000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pengembangan sarana prasarana komunikasi dan informatika;50000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
fasilitasi terhadap kelompok kelompok rentan , miskin, perempuan, masyarakt adat dam difabel;10000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan kapasitas  sumber daya aparatur pemerintah desa;5000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
peningkatan kapasitas kader pemberdayaan masyarakat desa;5000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
pembangunan gedung pendidikan anak usia dini;29270000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
sarana dan prasarana pelayanan kesehatan desa;70730000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
penguatan permodalam bumdes bersama;50000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
pembangunan gedung  bumdes;114619000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
peningkatan kapasitas pengelola bumdes;10000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
peningkatan kapasitas BPD;5000000;2018;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Dukungan Penyelenggaran PAUD (APE, Sarana PAUD dst);5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana/Alat
Peraga";15000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pengelolaan Perpustakaan Milik Desa (Pengadaan Buku, Honor, Taman
Baca)";5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pemeliharaan Fasilitas Kesehatan (Mobil Siaga/Ambulan Desa);5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);9600000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Penyuluhan dan Pelatihan Bidang Kesehatan (Untuk Masy, Tenaga dan
Kader Kesehatan dll)";5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Desa Siaga Kesehatan;2500000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pengasuhan Bersama atau Bina Keluarga Balita (BKB);2250000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";35000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa **);802011000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengerasan Jalan Lingkungan
Permukiman **)";164320000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Prasarana Jalan Desa (Gorong,
selokan dll)";299716000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Dukungan Pelaksanaan Program Pembangunan/Rehab Rumah Tidak Layak
Huni GAKIN";25000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;25000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Informasi Publik Desa (Poster, Baliho Dll);10000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana dan Prasarana Kepemudaan
& Olahraga Milik Desa";15000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pelatihan Pembinaan Lembaga Kemasyarakatan;5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan Kapatitas Perangkat Desa;10000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Peningkatan Kapasitas BPD;5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Pemberdayaan Perempuan;10000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pelatihan dan Penyuluhan Perlindungan Anak;5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pelatihan Pengelolaan BUM Desa (Pelatihan yg dilaksanakan oleh Pemdes);5000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan Kantor BUM Desa/Sarana Prasarana BUM Desa  (menjadi
aset desa)**";100000000;2019;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pemetaan dan Analisis Kemiskinan Desa secara Partisipatif;18179000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pengembangan Sistem Informasi Desa;3703200;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Penyelenggaran PAUD/TK/TPA/TKA/TPQ/Madrasah Non-Formal Milik Desa
(Honor, Pakaian dll)";12600000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Penyelenggaraan Pos Kesehatan Desa/Polindes Milik Desa (obat, Insentif,
KB, dsb)";1440000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyelenggaraan Posyandu (Mkn Tambahan, Kls Bumil, Lamsia, Insentif);81076000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan/Pengadaan Sarana/Prasarana
Posyandu/Polindes/PKD **";71200000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sarana Prasarana Olah Raga/
Gedung Serba Guna";100000000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
"Pembangunan/Rehabilitasi/Peningkatan Sumber Air Bersih Milik Desa
(Dipilih)";150000000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Dukungan Pelaksanaan Program Jambanisasi untuk Keluarga Miskin;25000000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan/Rehabilitas/Peningkatan/Pengerasan Jalan Desa;288000000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
penanganan dan pencegahan covid 19;66736800;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Penanganan keadaan mendesak / BLT;917100000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
Penyertaan Modal Desa;50000000;2020;SURAJAYA;PEMALANG;PEMALANG;JAWA TENGAH
URAIAN KEGIATAN;ANGGARAN(Rp.);Tahun;Desa;Kecamatan;Kabupaten;Provinsi
NA;NA;2015;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
NA;NA;2016;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pengelolaan Dan Pengembangan Sistem Administrasi Dan Informasi Desa;30000000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Jalan Desa;218803000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan Dan Pemeliharaan Saluran Pembuangan Air Limbah;213127000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Fasilitasi Dan Stimulasi Pemugaran Rumah Tidak Layak Huni;20000000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan Talud;35796000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan Pemeliharaan gedung Polindes;191917000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Perbaikan tanggul sungai;25498000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
permodalan Bumdes;80000000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembentukan bumdes;5000000;2017;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembangunan dan pemeliharaan jalan desa;298192000;2018;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Pembngunan dan pemeliharaan Saluran pembuangan Air limbah;233902000;2018;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
Fasilitasi terhadap kelompo rentan, miskin, perempuan, dan difabel;5000000;2018;KRAMAT;PEMALANG;PEMALANG;JAWA TENGAH
